index,Prompt,Generated Response,Expected Misconception
4305,"Instruction: Why is the given answer wrong under such circumstances?
answer: ![A function machine which has 4 parts joined by arrows pointing from left to right. ""y"" is the first part, written on the left, followed by a horizontal arrow pointing to a rectangle that has ""+ 4"" written inside it, followed by a horizontal arrow pointing to a rectangle that has ""square"" written inside it, followed by a horizontal arrow pointing to ""𝑥""]()
ConstructName: Express a non-linear equation as a function machine
QuestionText: Which function machine matches the equation \( y=x^{2}+4 ? \)","The given answer is incorrect because it does not accurately represent the function \( y = x^2 + 4 \). The provided image describes a function machine where the input \( x \) goes through a sequence of operations (addition and squaring), but it does not include the addition of 4 at any point, which is necessary for the equation \( y = x^2 + 4 \).","When using a function machine, confuses the input and the output."
3074,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( f t \)
ConstructName: Identify a unit of length
QuestionText: George has answered a question on perimeter and worked out an answer of \( 310 \).

Behind the star he has written the units that he used.

Which of the following units is definitely wrong? \( 310 \color{yellow} \bigstar\)","The given answer is wrong because ""310"" without any units does not specify what type of measurement is being referred to. The correct unit for perimeter should be included alongside the numerical value.",Does not recognise feet (ft) as a unit of length
2934,"Instruction: Why is the given answer wrong under such circumstances?
answer: ![Net of a cube]()
ConstructName: Identify the net of a prism
QuestionText: Which is the correct net for this shape? ![Net of a cuboid]()","The given answer is wrong because it represents the net of a cube, not a cuboid. A cuboid has different dimensions than a cube, and its net will have rectangles with varying lengths and widths.",Mixes up cubes and cuboids
4137,"Instruction: Why is the given answer wrong under such circumstances?
answer: Neither is correct
ConstructName: Recognise that a sequence is linear sequences when expressed as a pattern
QuestionText: Tom and Katie are discussing linear sequences Tom says this is a linear sequence: ![Three shapes made of squares. The first is an L-shape made of 3 squares so the bottom line is two squares long. The second shape is also an L but with a bottom line of three squares. The fourth shape is the same but the bottom line is four squares long.  ]() Katie says this is a linear sequence: ![Three shapes made of squares. The first is an L-shape made of 3 squares. The second shape is an L made of 5 squares, two on the top row and three on the bottom row. The third shape is an L made of 7 squares, 3 on the top row and four on the bottom. ]() Who is correct?",Katie is correct.,Does not recognise that a linear sequence must increase or decrease by same amount
1621,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( -14 \)
ConstructName: Carry out subtraction problems involving one negative integer
QuestionText: \( 6-(-8)= \)",The correct answer should be \( 14 \).,When subtracting a negative thinks the answer must be negative 
3664,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( \triangle=-88 \)
ConstructName: Complete the square for expressions that end up in the form a(x + b)² + c
QuestionText: When Aaron completes the square, what should replace the triangle?
\(
3 g^{2}-18 g-7 \equiv 3(g-3)^{2} \triangle
\)","The given answer is incorrect. The expression \(3g^2 - 18g - 7\) should be completed to the form \(3(g-3)^2 + c\), where \(c\) is a constant. Completing the square correctly yields \(3(g^2 - 6g) - 7 = 3((g-3)^2 - 9) - 7 = 3(g-3)^2 - 27 - 7 = 3(g-3)^2 - 34\). Therefore, the correct value that replaces the triangle is \(-34\).","When completing the square, believes a coefficient of x^2 does not affect the value of the constant inside the bracket"
2564,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 28 \)
ConstructName: Interpret numbers in a frequency table
QuestionText: Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()","The given answer is wrong because the total number of matches played by the team cannot be determined solely from the frequency table provided. The sum of all frequencies (6 + 7 + 4 + 3 + 1) equals 21, so the correct total number of matches is 21, not 28.",Believes the total frequency is the overall total in a grouped table
2699,"Instruction: Why is the given answer wrong under such circumstances?
answer: Both Tom and Katie
ConstructName: Solve two-step linear equations, with the variable on one side, with all positive integers
QuestionText: Tom and Katie are arguing about a first step to solve this equation:
\(
4(m-1)=20
\)
Tom says you can write: \( 4 m=21 \)
Katie says you can write: \( m-1=5 \)
Who is correct?",Katie is correct.,Only multiplies the first term in the expansion of a bracket
3185,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( \begin{array}{l}h(j+2)=32 \\ h(2+j)=23\end{array} \)
ConstructName: Substitute positive integer values into expressions involving no powers or roots
QuestionText: When \( h=15 \) and \( j=3 \)
Which of the following pairs of statements is true?","The given answer is wrong because it appears to be substituting \( j = 3 \) into expressions for \( h(j+2) \) and \( h(2+j) \), but the question asks for a pair of statements that are true when \( h = 15 \) and \( j = 3 \). The provided answer does not match the criteria of the question.",Does not realise addition is commutative
3437,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 2000 \)
ConstructName: Round numbers to one decimal place
QuestionText: \[
\text { 2426. } 951
\]
What is this number rounded to \( 1 \) decimal place?",The correct answer should be \( 2426. 9 \).,Rounds to the wrong degree of accuracy (rounds too little)
3063,"Instruction: Why is the given answer wrong under such circumstances?
answer: ![A curved graph that starts in the top left, travels steeply down and right, turns to travel steeply up and right, to the origin, where it turns around to travel down and right again.]()
ConstructName: Recognise a reciprocal graph from its shape
QuestionText: Which of the following is most likely to be the graph of a reciprocal function?",The provided image description does not match the typical characteristics of a reciprocal function graph. A reciprocal function graph typically shows a hyperbolic shape with asymptotes at the x-axis and y-axis. The given image description describes a curve that does not clearly exhibit these key features of a reciprocal function.,confuses cubic and reciprocal graphs
3921,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 1845 \)
ConstructName: Interpret and carry out mental division using a bar model
QuestionText: Find the value of \( P \). ![Horizontal green bar divided into 5 equal sections. Each section is labelled with a ""P"". Curly bracket shows that 3 of the sections sum to 615.]()","The given answer \( 1845 \) is incorrect for the problem presented. The correct value of \( P \) should be calculated as follows:

Since the bar is divided into 5 equal sections and 3 of these sections sum to 615, each section (including \( P \)) would be \( \frac{615}{3} = 205 \).

Therefore, \( P = 205 \).",Multiplies instead of divides to find one part given the total
