
{'loss': 10.8419, 'grad_norm': 11.456524848937988, 'learning_rate': 9.674796747967481e-05, 'epoch': 0.1016260162601626}
{'loss': 5.9885, 'grad_norm': 7.880049705505371, 'learning_rate': 9.342818428184282e-05, 'epoch': 0.2032520325203252}
{'loss': 5.656, 'grad_norm': 7.310698986053467, 'learning_rate': 9.004065040650407e-05, 'epoch': 0.3048780487804878}
{'loss': 5.4362, 'grad_norm': 8.87747573852539, 'learning_rate': 8.665311653116532e-05, 'epoch': 0.4065040650406504}
{'loss': 5.3856, 'grad_norm': 10.129262924194336, 'learning_rate': 8.326558265582655e-05, 'epoch': 0.508130081300813}
{'loss': 5.352, 'grad_norm': 11.646081924438477, 'learning_rate': 7.987804878048781e-05, 'epoch': 0.6097560975609756}
{'loss': 5.3395, 'grad_norm': 14.73586368560791, 'learning_rate': 7.649051490514906e-05, 'epoch': 0.7113821138211383}
{'loss': 5.2682, 'grad_norm': 8.348320960998535, 'learning_rate': 7.31029810298103e-05, 'epoch': 0.8130081300813008}
{'loss': 5.3203, 'grad_norm': 7.677361965179443, 'learning_rate': 6.971544715447155e-05, 'epoch': 0.9146341463414634}
{'loss': 5.2771, 'grad_norm': 10.297330856323242, 'learning_rate': 6.63279132791328e-05, 'epoch': 1.016260162601626}
{'loss': 5.1545, 'grad_norm': 9.541475296020508, 'learning_rate': 6.294037940379403e-05, 'epoch': 1.1178861788617886}
{'loss': 5.2481, 'grad_norm': 8.592801094055176, 'learning_rate': 5.955284552845529e-05, 'epoch': 1.2195121951219512}
{'loss': 5.1527, 'grad_norm': 16.6639404296875, 'learning_rate': 5.616531165311654e-05, 'epoch': 1.321138211382114}
{'loss': 5.0706, 'grad_norm': 10.97720718383789, 'learning_rate': 2.9065040650406507e-05, 'epoch': 2.1341463414634148}
{'loss': 5.1034, 'grad_norm': 11.499841690063477, 'learning_rate': 2.567750677506775e-05, 'epoch': 2.2357723577235773}
{'loss': 5.1097, 'grad_norm': 8.570859909057617, 'learning_rate': 2.2289972899728996e-05, 'epoch': 2.33739837398374}
{'loss': 5.0556, 'grad_norm': 13.142242431640625, 'learning_rate': 1.8902439024390246e-05, 'epoch': 2.4390243902439024}
{'loss': 5.0871, 'grad_norm': 13.639002799987793, 'learning_rate': 1.5514905149051493e-05, 'epoch': 2.540650406504065}
{'loss': 4.9632, 'grad_norm': 12.157094955444336, 'learning_rate': 1.2127371273712736e-05, 'epoch': 2.642276422764228}
{'loss': 5.0296, 'grad_norm': 13.52064037322998, 'learning_rate': 8.739837398373985e-06, 'epoch': 2.7439024390243905}
{'loss': 5.0295, 'grad_norm': 10.9877347946167, 'learning_rate': 5.35230352303523e-06, 'epoch': 2.845528455284553}
{'loss': 5.1011, 'grad_norm': 11.328095436096191, 'learning_rate': 1.964769647696477e-06, 'epoch': 2.9471544715447155}
