index,Prompt,Generated Response,Expected Misconception
4305,"Instruction: Why is the given answer wrong under such circumstances?
answer: ![A function machine which has 4 parts joined by arrows pointing from left to right. ""y"" is the first part, written on the left, followed by a horizontal arrow pointing to a rectangle that has ""+ 4"" written inside it, followed by a horizontal arrow pointing to a rectangle that has ""square"" written inside it, followed by a horizontal arrow pointing to ""𝑥""]()
ConstructName: Express a non-linear equation as a function machine
QuestionText: Which function machine matches the equation \( y=x^{2}+4 ? \)",25,"When using a function machine, confuses the input and the output."
3074,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( f t \)
ConstructName: Identify a unit of length
QuestionText: George has answered a question on perimeter and worked out an answer of \( 310 \).

Behind the star he has written the units that he used.

Which of the following units is definitely wrong? \( 310 \color{yellow} \bigstar\)",\( ft \),Does not recognise feet (ft) as a unit of length
2934,"Instruction: Why is the given answer wrong under such circumstances?
answer: ![Net of a cube]()
ConstructName: Identify the net of a prism
QuestionText: Which is the correct net for this shape? ![Net of a cuboid]()",159,Mixes up cubes and cuboids
4137,"Instruction: Why is the given answer wrong under such circumstances?
answer: Neither is correct
ConstructName: Recognise that a sequence is linear sequences when expressed as a pattern
QuestionText: Tom and Katie are discussing linear sequences Tom says this is a linear sequence: ![Three shapes made of squares. The first is an L-shape made of 3 squares so the bottom line is two squares long. The second shape is also an L but with a bottom line of three squares. The fourth shape is the same but the bottom line is four squares long.  ]() Katie says this is a linear sequence: ![Three shapes made of squares. The first is an L-shape made of 3 squares. The second shape is an L made of 5 squares, two on the top row and three on the bottom row. The third shape is an L made of 7 squares, 3 on the top row and four on the bottom. ]() Who is correct?","Neither is correct

Explanation:
The given sequences are not linear sequences. A linear sequence is one where each term increases or decreases by a constant difference. 

In Tom's sequence:
- From the first shape to the second, the difference is +2 (3 to 5).
- From the second shape to the third, the difference is +2 (5 to 7).

So, Tom's sequence indeed shows a constant difference of +2, and thus it is a linear sequence.

In Katie's sequence:
- From the first shape to the second, the difference is +2 (3 to 5).
- From the second shape to the third, the difference is +3 (5 to 8).

Katie's sequence does not have a constant difference; the differences are +2 and +3 respectively. Therefore, Katie's sequence is not linear.

Hence, Tom is correct and Katie is incorrect.",Does not recognise that a linear sequence must increase or decrease by same amount
1621,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( -14 \)
ConstructName: Carry out subtraction problems involving one negative integer
QuestionText: \( 6-(-8)= \)",0,When subtracting a negative thinks the answer must be negative 
3664,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( \triangle=-88 \)
ConstructName: Complete the square for expressions that end up in the form a(x + b)² + c
QuestionText: When Aaron completes the square, what should replace the triangle?
\(
3 g^{2}-18 g-7 \equiv 3(g-3)^{2} \triangle
\)",\( \triangle=-53 \),"When completing the square, believes a coefficient of x^2 does not affect the value of the constant inside the bracket"
2564,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 28 \)
ConstructName: Interpret numbers in a frequency table
QuestionText: Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()",\( 28 \),Believes the total frequency is the overall total in a grouped table
2699,"Instruction: Why is the given answer wrong under such circumstances?
answer: Both Tom and Katie
ConstructName: Solve two-step linear equations, with the variable on one side, with all positive integers
QuestionText: Tom and Katie are arguing about a first step to solve this equation:
\(
4(m-1)=20
\)
Tom says you can write: \( 4 m=21 \)
Katie says you can write: \( m-1=5 \)
Who is correct?","Katie is correct.

Starting with the equation:
\[ 4(m-1) = 20 \]

First, distribute the 4 on the left side:
\[ 4m - 4 = 20 \]

Then, add 4 to both sides to isolate the term with the variable:
\[ 4m = 24 \]

So, Katie's step of rewriting it as:
\[ m - 1 = 5 \]

Is incorrect because she missed adding 4 to both sides to isolate the term with the variable \( m \). Tom's step of rewriting it as:
\[ 4m = 21 \]

Is also incorrect because he missed adding 4 to both sides, resulting in \( 4m = 24 \).

Therefore, Katie's step of \( m - 1 = 5 \) is wrong. Tom’s step of \( 4m = 21 \) is also wrong. The correct first step is:
\[ m - 1 = 5 \]
which simplifies to:
\[ m = 6 \]

So, Katie is not correct. Tom is also not correct. The correct answer is neither, and the provided options suggest that both Tom and Katie are wrong. Thus, the correct response is:

**Both Tom and Katie**",Only multiplies the first term in the expansion of a bracket
3185,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( \begin{array}{l}h(j+2)=32 \\ h(2+j)=23\end{array} \)
ConstructName: Substitute positive integer values into expressions involving no powers or roots
QuestionText: When \( h=15 \) and \( j=3 \)
Which of the following pairs of statements is true?",169,Does not realise addition is commutative
3437,"Instruction: Why is the given answer wrong under such circumstances?
answer: \( 2000 \)
ConstructName: Round numbers to one decimal place
QuestionText: \[
\text { 2426. } 951
\]
What is this number rounded to \( 1 \) decimal place?",\( 2427. 0 \),Rounds to the wrong degree of accuracy (rounds too little)
