,QuestionId,Answer_Source,answer,misconception_source,MisconceptionId,ConstructName,QuestionText,MisconceptionName
1,1,AnswerAText,\( m+1 \),MisconceptionAId,2142.0,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)","Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
"
2,2,AnswerAText,"Only
Tom",MisconceptionAId,1287.0,Calculate the range from a list of data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",Believes if you changed all values by the same proportion the range would not change
3,3,AnswerAText,acute,MisconceptionAId,1180.0,Recall and use the intersecting diagonals properties of a rectangle,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),Does not know the properties of a rectangle
5,5,AnswerAText,\( m \),MisconceptionAId,686.0,Identify a unit of area,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",Does not know units of area should be squared
6,6,AnswerAText,\( \frac{62}{10} \),MisconceptionAId,329.0,Convert two digit integer percentages to fractions,"Convert this percentage to a fraction
\( 62 \% \)",Does not understand a percentage is out of 100
9,9,AnswerAText,"Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)",MisconceptionAId,1889.0,Identify horizontal translations in the form f(x) = for non-trigonometric functions,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",Believes f(x - a) translates the function up a units
11,11,AnswerAText,Triangle,MisconceptionAId,690.0,Identify the net of a non-prism,This is the net of a... ![A circle touching a sector](),Struggles to visualise nets of 3D shapes
14,14,AnswerAText,\( 4.78 \),MisconceptionAId,1775.0,Select the correct answer to an iteration question to the required degree of accuracy,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",Stops iteration too early when solving equations
16,16,AnswerAText,\( 16 \mathrm{~m} \),MisconceptionAId,2378.0,"Divide a quantity into two parts for a given a ratio, where each part is an integer","In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",Divides total amount by each side of the ratio instead of dividing by the sum of the parts
17,17,AnswerAText,\( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\end{array} \),MisconceptionAId,616.0,Prove statements involving odd and even numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,Does not understand that 2n represents an even number
18,18,AnswerAText,\( -7 \),MisconceptionAId,2179.0,Carry out missing number subtraction problems involving negative integers,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",Assumes that an arrow on a number line starts at zero
19,19,AnswerAText,\( \frac{1-t}{3 s} \),MisconceptionAId,1916.0,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)","When subtracting fractions, subtracts the numerators and multiplies the denominators"
21,21,AnswerAText,\( (3 x+2)(3 x+1) \),MisconceptionAId,2240.0,Factorise a quadratic expression in the form ax² + bx + c where a is prime,"Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)","When factorising a quadratic with a non-unit coefficient of x squared, believes that coefficient will be in front of both x terms in the factorised form"
28,28,AnswerAText,"\( 19,102 \)",MisconceptionAId,878.0,Count backwards in steps of of something other than one,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?","Counts on by 1, when asked to count forward/backwards in a step other than 1"
29,29,AnswerAText,\( 2 \leq n \),MisconceptionAId,1214.0,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,"Solve
\[
2 n+3 \leq 3 n-7
\]","When solving an equation, uses the same operation rather than the inverse."
32,32,AnswerAText,\( \frac{2 r}{5}=5+r \),MisconceptionAId,1566.0,"Solve linear equations with the variable appearing on both sides, involving positive fractions","Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",Adds or subtracts from numerator first when solving an equation with a fraction
33,33,AnswerAText,![A cylinder sitting on one of its circular faces.](),MisconceptionAId,218.0,Given a situation sketch an appropriate real life graph,"Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()",Does not interpret a sloping gradient as a change in rate
34,34,AnswerAText,"\( 801,426 \)",MisconceptionAId,2264.0,Find another power of 10 less than a given number,"What number is \( 10,000 \) less than \( 901,426 \) ?","When subtracting a power of 10, subtracts from the wrong column"
36,36,AnswerAText,\( 4 \times d \),MisconceptionAId,1680.0,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",Does not realize we can omit the multiplication symbol in algebraic expressions
37,37,AnswerAText,\( \frac{3}{6} \),MisconceptionAId,848.0,Simplify fractions that simplify to a unit fraction,"Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",Believes when simplifying a fraction you can divide the numerator and denominator by different values
39,39,AnswerAText,\( 402 \),MisconceptionAId,1958.0,Carry out a subtraction problem with positive integers where the answer is less than 0,\( 598-1000= \),"Believes the smaller number is always subtracted from the larger, regardless of the order of the calculation"
40,40,AnswerAText,\( £ 130 \),MisconceptionAId,1582.0,Read values off a real life graph,"Lethna pays at one rate for the first \( 100 \) units of electricity she uses. She pays at a different rate for all the other units of electricity she uses.

How much must she pay for using a total of \( 1000 \) units of electricity? ![A graph showing how the cost changes for different numbers of units. The first 100 units cost £0.25 per unit. Then the rate changes to £0.10 per unit.]()",Thinks terms in linear sequence are in direct proportion
42,42,AnswerAText,\( -5 \),MisconceptionAId,182.0,"Given a gradient, state the gradient of a line parallel to it","A line has a gradient of \( 5 \)

A line parallel to this line would have a gradient of...",Believes parallel lines have gradients of opposite signs
43,43,AnswerAText,\( \frac{2}{4} \),MisconceptionAId,381.0,Divide proper fractions in the form: Fraction ÷ Integer,Calculate: \( \frac{4}{8} \div 2 \),"When dividing a fraction by an integer, divides both the numerator and denominator by the integer"
44,44,AnswerAText,Scalene,MisconceptionAId,646.0,Identify a right-angled triangle when presented non-conventionally,"\( A B C D \) is a rectangle.
What type of triangle is triangle \( \mathrm{BCD} \) ? ![Rectangle ABCD with the diagonal shown using a red dotted line]()",Confuses scalene and right angle triangles
45,45,AnswerAText,\( 10 a+2 \),MisconceptionAId,220.0,"For a given algebraic input, find the output of a function machine","![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""5a + 2"" written inside it. The middle rectangle has ""✕ 2"" written inside it and the final rectangle is empty and has ""output"" written above it.]() What is the output of this function machine?",Only multiplies the first term in the expansion of a bracket
